dataset,n_meta
CD004736_pub6_data,68
CD015331_pub2_data,67
CD007784_pub3_data,57
CD009298_pub3_data,45
CD013614_pub2_data,44
CD015588_pub2_data,39
CD015326_pub2_data,36
CD002042_pub6_data,34
CD015524_pub2_data,34
CD012693_pub3_data,33
CD015332_pub2_data,33
CD015014_pub2_data,32
CD015849_pub2_data,31
CD013445_pub2_data,30
CD003598_pub3_data,29
CD006023_pub4_data,25
CD008176_pub3_data,25
CD013758_pub2_data,25
CD014769_pub2_data,25
CD012079_pub2_data,24
CD016002_data,24
CD004661_pub4_data,23
CD006536_pub5_data,23
CD012429_pub2_data,23
CD014852_pub2_data,23
CD014965_pub2_data,23
CD006913_pub3_data,22
CD009235_pub4_data,22
CD013278_pub3_data,22
CD013781_pub2_data,22
CD013789_pub2_data,22
CD015033_pub2_data,22
CD002243_pub5_data,21
CD003519_pub5_data,21
CD006689_pub3_data,21
CD013830_pub2_data,21
CD014937_pub2_data,21
CD015215_pub2_data,21
CD015875_data,21
CD008709_pub4_data,20
CD011197_pub3_data,20
CD011600_pub3_data,20
CD011885_pub2_data,20
CD012067_pub3_data,20
CD012712_pub2_data,20
CD012850_pub2_data,20
CD004667_pub6_data,19
CD010145_pub2_data,19
CD011575_pub3_data,19
CD011689_pub4_data,19
CD013071_pub2_data,19
CD013232_pub2_data,19
CD013358_pub2_data,19
CD015284_pub2_data,19
