specification_rank,check,effect_metric,estimate,interval_low,interval_high,p_value,null_value,direction_positive,ci_supports_positive
1,Dataset fixed-effects LPM (clustered RD),RD_cluster,0.0228796519936762,-0.00226923880177177,0.0480285427891242,0.0745627090841931,0,TRUE,FALSE
2,Heterogeneity-present subset (I2 > 0),OR_cluster,0.953122575718108,0.808999333732285,1.1229213751666,0.565974478879532,1,FALSE,FALSE
3,Primary model (modified Poisson RR),RR,1.08345044109321,1.01659048839797,1.15470769370953,0.0136887452308199,1,TRUE,TRUE
4,Primary model (modified Poisson RR) + cluster-robust,RR_cluster,1.08345044109321,1.01046749569591,1.16170471915736,0.0242803961652084,1,TRUE,TRUE
5,Within-between (within component),OR_cluster,1.0864685455864,0.963789816502905,1.22476278576147,0.174888876784851,1,TRUE,FALSE
6,Complete-case outcome,OR,1.12515032619662,1.00711186633709,1.25702347361344,0.0370396780321256,1,TRUE,TRUE
7,Complete-case outcome + cluster-robust,OR_cluster,1.12515032619662,0.996387229951709,1.27055347407626,0.0572193247165916,1,TRUE,FALSE
8,Measure-adjusted,OR,1.14550120697879,1.026070575254,1.27883310060327,0.0156001688858135,1,TRUE,TRUE
9,Measure-adjusted + cluster-robust,OR,1.14550120697879,1.01540662200608,1.29226359839713,0.0272040831704414,1,TRUE,TRUE
10,High-leverage exclusion,OR_cluster,1.1484404742128,1.01284283208844,1.30219169354299,0.0308448843605957,1,TRUE,TRUE
11,Leave-one-dataset-out,OR_median,1.15112531885342,1.14452497668488,1.15789842652285,,1,TRUE,TRUE
12,Primary model,OR,1.15120783181942,1.03184885273828,1.28437364496303,0.0116889654346351,1,TRUE,TRUE
13,Cluster-robust,OR,1.15120783181942,1.02129468262976,1.29764650162466,0.0211717656875211,1,TRUE,TRUE
14,Dominance-threshold sensitivity,OR_cluster_median,1.15120783181942,1.12774790070202,1.2005110893895,,1,TRUE,TRUE
15,Egger-threshold sensitivity,OR_cluster_median,1.15120783181942,1.1401763986292,1.15414242309006,,1,TRUE,TRUE
16,Tau2-cap sensitivity,OR_cluster_median,1.15120783181942,1.08929375400644,1.34202657052214,,1,TRUE,TRUE
17,Dataset-level bootstrap,OR_median,1.15309484167771,1.03576227901745,1.30114746775357,,1,TRUE,TRUE
18,Composite fragility count outcome,RR,1.15613350435867,1.09735358396463,1.21806198059836,5.32991614247334e-08,1,TRUE,TRUE
19,Composite fragility count outcome + cluster-robust,RR_cluster,1.15613350435867,1.09070024048256,1.2254922391044,1.05681108837669e-06,1,TRUE,TRUE
20,Leave-one-measure-family-out,OR_cluster_median,1.15888276938101,1.12378194665483,1.30580286424467,,1,TRUE,TRUE
21,Direction fragility outcome,OR,1.1691741005028,1.0152362600503,1.34645316669325,0.0300117607828679,1,TRUE,TRUE
