dataset,measure,k,method,estimate,se,abs_shift_vs_reml
CD000028_pub4_data,OR,80,REML,-0.231764450378166,0.0439586038276757,0
CD000028_pub4_data,OR,80,HKSJ,-0.231764450378166,0.0427314283391912,0
CD000028_pub4_data,OR,80,QSE,-0.231764450378166,0.0433319887754017,0
CD000028_pub4_data,OR,80,LTH,-0.228828051436396,0.035999397439335,0.00293639894176997
CD000028_pub4_data,OR,80,RMR,-0.26624135380726,0.0444431749230294,0.0344769034290938
CD000028_pub4_data,OR,80,CRT,-0.260171854250008,0.0309998614188896,0.0284074038718421
CD000028_pub4_data,OR,80,AWH,-0.280268982664707,0.043958605266433,0.0485045322865403
CD000028_pub4_data,OR,80,MRSTACK,-0.208085199604136,0.0777299208961735,0.0236792507740304
CD000028_pub4_data,OR,80,SAFE,-0.23150194228724,0.0427359328694553,0.000262508090926539
CD000028_pub4_data,OR,80,CPC,-0.363786747867554,0.159326541766476,0.132022297489388
CD000028_pub4_data,OR,80,DTM,-0.230008688269619,0.0463265202499452,0.00175576210854678
CD000028_pub4_data,OR,80,BSC,-0.231764450695563,0.043958605266433,3.17396858795505e-10
CD000028_pub4_data,OR,80,HGAM,-0.229818740341826,0.180078448353891,0.00194571003633998
CD000028_pub4_data,OR,80,MTLE,-0.252913354430901,0.0604249408828422,0.0211489040527352
CD000028_pub4_data,OR,80,PBM,-0.203411342243845,0.0754690364875583,0.0283531081343209
CD000028_pub4_data,OR,80,FATIHA,-0.231766750002376,0.04354648847904,2.29962420986163e-06
CD000143_pub2_data,OR,80,REML,-0.534172343562138,0.104144342194021,0
CD000143_pub2_data,OR,80,HKSJ,-0.534172343562138,0.113752863507364,0
CD000143_pub2_data,OR,80,QSE,-0.534172343562138,0.108631185566116,0
CD000143_pub2_data,OR,80,LTH,-0.521455817041786,0.0920232105122026,0.0127165265203518
CD000143_pub2_data,OR,80,RMR,-0.508456614399607,0.105812839978145,0.0257157291625305
CD000143_pub2_data,OR,80,CRT,-0.534172343562138,0.113752863507364,0
CD000143_pub2_data,OR,80,AWH,-0.540484689784361,0.104144342867573,0.00631234622222299
CD000143_pub2_data,OR,80,MRSTACK,-0.471627093739008,0.174373720187279,0.0625452498231295
CD000143_pub2_data,OR,80,SAFE,-0.528158044067348,0.102542968020103,0.00601429949478927
CD000143_pub2_data,OR,80,CPC,-0.40597375287775,0.708013917040491,0.128198590684387
CD000143_pub2_data,OR,80,DTM,-0.53083420448975,0.110204218052459,0.003338139072388
CD000143_pub2_data,OR,80,BSC,-0.534172343952773,0.104144342867573,3.90635190861133e-10
CD000143_pub2_data,OR,80,HGAM,-0.666520394951248,0.45458922666972,0.13234805138911
CD000143_pub2_data,OR,80,MTLE,-0.341954039038306,0.261001019633752,0.192218304523832
CD000143_pub2_data,OR,80,PBM,-0.455334297996343,0.144309314279018,0.0788380455657946
CD000143_pub2_data,OR,80,FATIHA,-0.530840679235327,0.110149841593644,0.00333166432681031
CD000219_pub5_data,OR,71,REML,-0.18235572793318,0.067236426456437,0
CD000219_pub5_data,OR,71,HKSJ,-0.18235572793318,0.0707393610316157,0
