method,n_datasets,convergence,median_k,mean_abs_shift_vs_reml,mean_abs_shift_vs_consensus,median_se,sign_flip_rate_vs_reml,rank_mean,rank_sd,rank_p10,rank_p90,score_shift,score_consensus,score_se,score_flip,score_convergence,score_rank_uncertainty,world_score,rank
LTH,34,1,80,0.0104981933274998,0.00857205196969337,0.0865399769276942,0,7.78333333333333,0.488236981536688,7,8,0.0340034060917109,0.0277370059352468,0.0158906681880097,0,0,0.242830759633431,0.0455829020757842,1
DTM,34,1,80,0.0037421525175842,0.00358233980385875,0.106875165575533,0,7.25833333333333,0.510327516081063,7,8,0.0121207457076654,0.0115079491753047,0.0612903792262461,0,0,0.257744696034755,0.0471599446591483,2
RMR,34,1,80,0.0219282887177515,0.0197380945696896,0.10365482611013,0,9.46666666666667,0.517481511598181,9,10,0.0710252214743283,0.0640545996393639,0.0541007492844626,0,0,0.262574558071064,0.0709646424847432,3
AWH,34,1,80,0.0314122465048719,0.0313322077462463,0.1018517707721,0,10.7166666666667,0.567810675829043,10,11,0.101743542039768,0.101764494432876,0.050075303897644,0,0,0.296553181492921,0.0893717045047082,4
QSE,34,1,80,1.39798303652249e-17,0.00219568614304214,0.0874120045822046,0,2.75,1.21786422778195,1,5,4.52803481677913e-17,0.00699785315777015,0.0178375300646183,0,0,0.735422476928273,0.0930009803377335,5
REML,34,1,80,0,0.00219568614304213,0.101851770121418,0,4.275,1.16649658624202,2,5,0,0.00699785315777012,0.0500753024449518,0,0,0.700742748491933,0.0946422119538328,6
BSC,34,1,80,3.50368489021428e-10,0.00219568648643999,0.1018517707721,0,5.275,1.16649658624202,3,6,1.13483545618531e-09,0.00699785427467289,0.050075303897644,0,0,0.700742748491933,0.0946422127106998,7
CRT,34,1,80,0.0272774688955622,0.0263568662807582,0.0794223163092988,0,9.76666666666667,0.923396482788282,9,11,0.0883510927142275,0.0855821784274811,0,0,0,0.536619083906939,0.102659609720009,8
HKSJ,34,1,80,0,0.00219568614304213,0.0827903509288977,0,2.375,1.55061657565817,1,5,0,0.00699785315777012,0.0075193695590731,0,0,0.960072873850459,0.118101759077398,9
SAFE,34,1,80,0.00180607804137298,0.00100710338036929,0.0874176118446078,0,2.73333333333333,1.54339652362303,1,5.10000000000001,0.00584984512651886,0.00313198344861426,0.0178500486646287,0,0,0.955198415215242,0.119812820871992,10
FATIHA,34,1,80,0.00223658940406335,4.41579579762375e-05,0.0892389828965642,0,3.61666666666667,1.6097566668943,1,6,0.00724426150236426,0,0.0219163851458995,0,0,1,0.125538686856782,11
MTLE,33,0.970588235294118,80,0.0209472275095444,0.0207072494771041,0.185398140246958,0,12.2083333333333,0.500350017543742,12,13,0.0678475868449387,0.0672067794603367,0.236598335384513,0,1,0.251008608307634,0.232420693953289,12
PBM,34,1,80,0.120796573553327,0.118682351405954,0.12057704876926,0.0294117647058824,12.9416666666667,0.554520511071394,12,14,0.39125731608138,0.385871150754478,0.0918807783834721,0.194117647058824,0,0.287580620346402,0.247251771372129,13
MRSTACK,34,1,80,0.164660338834208,0.162464873636614,0.158254301449616,0.0294117647058824,13.875,0.477431855316116,13,14,0.53333104029546,0.528273961730242,0.175997843340454,0.194117647058824,0,0.235535917358873,0.318732316447648,14
CPC,33,0.970588235294118,80,0.117352702495895,0.115090697044899,0.527336811419461,0.121212121212121,14.975,0.241232828012533,15,15,0.380102697144559,0.374189282031316,1,0.8,1,0.07607136188676,0.589072798845104,15
HGAM,33,0.970588235294118,80,0.308739462722793,0.307499621306322,0.298391774777742,0.151515151515152,15.9833333333333,0.128555865849279,16,16,1,1,0.488864416889632,1,1,0,0.787995595040134,16
