scenario,scenario_kind,method,n,applicable_n,applicability,convergence,bias,abs_bias,rmse,coverage,ci_width,type1_error,power
BASE_NULL,none,REML,300,300,1,0.996666666666667,0.000864578952247748,0.0792984612507537,0.0985724002338437,0.939799331103679,0.390302185574828,0.0602006688963211,
BASE_NULL,none,HKSJ,300,300,1,0.996666666666667,0.000864578952247748,0.0792984612507537,0.0985724002338437,0.953177257525084,0.446239974070704,0.0468227424749164,
BASE_NULL,none,PETPEESE,300,300,1,1,-0.0204105393812536,0.210913165306942,0.26054986163291,0.936666666666667,1.23184008540169,0.0633333333333333,
BASE_NULL,none,TRIMFILL,300,300,1,0.996666666666667,-0.004591002124153,0.0952417226604832,0.120477744957623,0.879598662207358,0.399102159878486,0.120401337792642,
BASE_NULL,none,SWA,300,300,1,0.996666666666667,-0.00130160456590728,0.0797372663064895,0.0989294861960845,0.933110367892977,0.418234615860359,0.0668896321070234,
BASE_NULL,none,TAS,300,300,1,0.996666666666667,0.000864578952247748,0.0792984612507537,0.0985724002338437,0.963210702341137,0.459211730936979,0.0367892976588629,
BASE_NULL,none,PBM,300,300,1,0.996666666666667,-0.000880993947159181,0.0819154262827566,0.101524547017496,0.976588628762542,0.526441908922782,0.0234113712374582,
BASE_SMALLK,none,REML,300,300,1,1,-0.00370712941277314,0.107552731154949,0.136141774642998,0.92,0.512577463604195,,0.64
BASE_SMALLK,none,HKSJ,300,300,1,1,-0.00370712941277314,0.107552731154949,0.136141774642998,0.946666666666667,0.645584396751768,,0.473333333333333
BASE_SMALLK,none,PETPEESE,300,300,1,1,-0.030898266023397,0.287409750681593,0.371496149276729,0.93,2.09129574016857,,0.156666666666667
BASE_SMALLK,none,TRIMFILL,300,300,1,1,-0.00344166752040073,0.129057942321478,0.16375019544697,0.863333333333333,0.516960915812732,,0.62
BASE_SMALLK,none,SWA,300,0,0,,,,,,,,
BASE_SMALLK,none,TAS,300,0,0,,,,,,,,
BASE_SMALLK,none,PBM,300,300,1,1,-0.00284428994172996,0.117044321311559,0.150854797747241,0.976666666666667,0.873330244083309,,0.326666666666667
BASE_STD,none,REML,300,300,1,0.996666666666667,-0.00460908699949759,0.054448843396665,0.0692815317966456,0.933110367892977,0.27701176118694,,0.979933110367893
BASE_STD,none,HKSJ,300,300,1,0.996666666666667,-0.00460908699949759,0.054448843396665,0.0692815317966456,0.946488294314381,0.294419381896107,,0.979933110367893
BASE_STD,none,PETPEESE,300,300,1,1,-0.0298643095436866,0.121007796091745,0.161172444917248,0.946666666666667,0.655145588708746,,0.48
BASE_STD,none,TRIMFILL,300,300,1,0.996666666666667,-0.00175743446242841,0.0708974251299304,0.0886706739927993,0.862876254180602,0.284539252297709,,0.953177257525084
BASE_STD,none,SWA,300,300,1,0.996666666666667,-0.0403098139994496,0.0613650067674765,0.0766847125200681,0.882943143812709,0.267586326183106,,0.963210702341137
BASE_STD,none,TAS,300,300,1,0.996666666666667,-0.00460908699949757,0.054448843396665,0.0692815317966456,0.946488294314381,0.296934086072098,,0.979933110367893
BASE_STD,none,PBM,300,300,1,0.996666666666667,-0.00942714613112015,0.055731746799296,0.070603208185376,0.973244147157191,0.339493539294562,,0.933110367892977
HET_ZERO,none,REML,300,300,1,1,-0.00160832493748238,0.0371578161304535,0.0474772835813906,0.946666666666667,0.191432410322785,,1
HET_ZERO,none,HKSJ,300,300,1,1,-0.00160832493748238,0.0371578161304535,0.0474772835813906,0.94,0.192393080400566,,1
HET_ZERO,none,PETPEESE,300,300,1,1,-0.0218784047343246,0.0724456711720403,0.101627814141152,0.943333333333333,0.350882514514327,,0.753333333333333
HET_ZERO,none,TRIMFILL,300,300,1,1,-0.00243235579007107,0.0406373767274915,0.0517272508760288,0.93,0.192711609313316,,1
HET_ZERO,none,SWA,300,300,1,1,-0.0353110418851142,0.0466818448776241,0.0569446605708963,0.853333333333333,0.171615460269298,,1
HET_ZERO,none,TAS,300,300,1,1,-0.00160832493748237,0.0371578161304535,0.0474772835813906,0.963333333333333,0.205199979813908,,1
HET_ZERO,none,PBM,300,300,1,1,-0.00751001763890027,0.0372566591320699,0.0473776304786094,0.98,0.226938935089024,,0.993333333333333
HET_HIGH,none,REML,300,300,1,1,0.00096535675535688,0.104364832759612,0.13006158647484,0.94,0.53207556408074,,0.606666666666667
HET_HIGH,none,HKSJ,300,300,1,1,0.00096535675535688,0.104364832759612,0.13006158647484,0.953333333333333,0.568699476260223,,0.553333333333333
